title_en, title_cn, day_num, start_time, end_time, bookable
塑身器—臀腿美化,塑身器—臀腿美化,0,12:30,13:25,False
塑身器—腰腹强化,塑身器—腰腹强化,0,19:00,19:55,False
器械婵柔-基础课,器械婵柔-基础课,1,19:00,19:55,True
流动中的控制,流动中的控制,1,12:30,13:25,False
塑身器—基础课,塑身器—基础课,2,12:30,13:25,True
塑身器—腰腹强化,塑身器—腰腹强化,2,19:00,19:55,True
塑身器—臀腿美化,塑身器—臀腿美化,3,12:30,13:25,True
器械婵柔-基础课,器械婵柔-基础课,3,16:00,16:55,True
塑身器—腰腹强化,塑身器—腰腹强化,4,12:30,13:25,True
器械婵柔-脊柱活化,器械婵柔-脊柱活化,4,16:00,16:55,True
塑身器-基础课,塑身器-基础课,5,12:30,13:25,True
器械婵柔-腹部激活,器械婵柔-腹部激活,5,16:00,16:55,True
